TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
GEDS-7HXQ8S,Esquires Coffee House (Crescent Rd),12823 Crescent Rd,Surrey,Restaurant,49.0532074,-122.86698151
A018064    ,Newton Pizza,6828 128 St,Surrey,Restaurant,49.12696075,-122.86753082
HCAR-C37VCV,Punjab Meats and Tandoori Flames,12837 88th Ave,Surrey,Restaurant,49.16276072,-122.86718741
HCAR-BQAT5L,Quesada Burritos & Tacos #189,12830 96th Ave,Surrey,Restaurant,49.17696905,-122.86709444
SWOD-AF3QGR,Pacific Pizza,12817 Old Yale Rd,Surrey,Restaurant,49.19783783,-122.86701965
SDFO-8HKP7E,Pattullo A&W,12808 King George Blvd,Surrey,Restaurant,49.20610809,-122.86680603
SHEN-BGYRBJ,Panago #65,12840 16 Ave,Surrey,Restaurant,49.03113937,-122.86620331
HCAR-CKTMQA,Ocean Park Donair,12867 16th Ave,Surrey,Restaurant,49.03133577,-122.86606821
HCAR-BPCRFY,Ustaad G Indian Cuisine,7638 129A St,Surrey,Restaurant,49.14159816,-122.86282936
SWOD-A3NQNT,Indian Tandoori Flare,7638 129A St,Surrey,Restaurant,49.14111527,-122.86245869
GEDS-7UULCR,Jon's Newtrition Kitchen,8145 130 St,Surrey,Restaurant,49.15057755,-122.86253357
HCAR-BMEMJA,CBSA Pacific Immigration Holding Centre,13130 76th Ave,Surrey,Restaurant,49.14077024,-122.85956879
GEDS-5ZZMJS,Puccinos,7495 132 St,Surrey,Restaurant,49.13903809,-122.85697174
NDAA-99WMTF,7-Eleven Canada Store #36676,9583 132 St,Surrey,Restaurant,49.17681885,-122.85715485
HCAR-BG7QFL,Circle K #11094,13192 104 Ave,Surrey,Restaurant,49.19151306,-122.85697937
ACAK-985U78,Subway #57253,13245 72 Ave,Surrey,Restaurant,49.13385391,-122.85542297
A016864    ,Newton Canadian Baseball Association,13313 68 Ave,Surrey,Restaurant,49.1265831,-122.8538208
SPLH-9P8V42,GB Foods & Sherlocks Imports,13369 72 Ave,Surrey,Restaurant,49.13383484,-122.85309601
A018866    ,Happy Farm Group Centre for Children Food Service,9458 134 St,Surrey,Restaurant,49.17457199,-122.85119629
NDAA-8WQS48,Catering Visions,13375 115 Ave,Surrey,Restaurant,49.21175003,-122.85179138
SHEN-B32QUF,Curry Bistro,13448 108 Ave,Surrey,Restaurant,49.19874954,-122.8493576
RORS-5UYPM9,Elgin Park Secondary School Cafeteria,13484 24 Ave,Surrey,Restaurant,49.0455513,-122.84858704
HCAR-CF7PC4,Salsa & Guacamole,13483 72nd Ave,Surrey,Restaurant,49.13360393,-122.84824412
NDAA-9BXPQ9,Blenz SFU Kiosk,13450 102 Ave,Surrey,Restaurant,49.18791962,-122.84877014
GEDS-7AY2NW,Tim Hortons #3146,2443 Central City,Surrey,Restaurant,49.18559446,-122.84740187
HCAR-B3WQT7,Potemia,10277 City Pky,Surrey,Restaurant,49.18955231,-122.84788513
GEDS-75FV9W,Top King's Chinese Restaurant and Cafe,10294 City Pky,Surrey,Restaurant,49.1897049,-122.84739685
SHEN-B5KSUZ,Umami Ramen,10302 City Pky,Surrey,Restaurant,49.18995667,-122.84738922
HCAR-BESNET,Freshii (City Pky),10305 City Pky,Surrey,Restaurant,49.19051223,-122.84787212
HCAR-BQ2V68,Major Joy Chicken,13588 88th Ave,Surrey,Restaurant,49.16252802,-122.84686461
HCAR-CHBMUU,Little's Too,9151 King George Blvd,Surrey,Restaurant,49.16922464,-122.84619274
GEDS-7VCPN5,Galina's Cafe,13531 102 Ave,Surrey,Restaurant,49.18801117,-122.84707642
HCAR-BEUT8B,Union Latinos Food,13569 105A Ave,Surrey,Restaurant,49.19459534,-122.84626007
SWOD-AHS22K,Koco Espresso,13585 16 Ave,Surrey,Restaurant,49.03142548,-122.84624481
PGOO-66GTL6,The Roost,13582 68 Ave,Surrey,Restaurant,49.12607956,-122.84603882
GEDS-6N4UKL,Costco Wholesale (Surrey) Snack Bar,7423 King George Blvd,Surrey,Restaurant,49.13845062,-122.84597778
GEDS-78BTNS,X-Fuel Nutrition Inc,7635 King George Blvd,Surrey,Restaurant,49.14163971,-122.84596252
MARO-AZEUHB,Dairy Queen #27001,9436 King George Blvd,Surrey,Restaurant,49.17441177,-122.84552765
SHEN-9PXNWT,Knight & Day,9677 King George Blvd,Surrey,Restaurant,49.17836761,-122.84606171
GEDS-6R5QAM,Maxim's Bakery (Surrey),10153 King George Blvd,Surrey,Restaurant,49.18592072,-122.84584808
HCAR-BD2RZV,Coco Fresh Tea & Juice,10153 King George Blvd,Surrey,Restaurant,49.18592072,-122.84584808
PNEL-8R5UF2,Burger King #18301,10153 King George Hwy,Surrey,Restaurant,49.18592072,-122.84584808
SWOD-A45NPC,Mahaveer Chef's Choice,10227 King George Blvd,Surrey,Restaurant,49.18849945,-122.84571075
SHEN-A63NQL,Chatime,10255 King George Blvd,Surrey,Restaurant,49.18915176,-122.8457489
SWOD-A58Q7W,La Conquistadora de Pablo,10511 King George Blvd,Surrey,Restaurant,49.19366455,-122.84560394
GEDS-7A2PK4,Taste of Africa,10663 King George Blvd,Surrey,Restaurant,49.19643402,-122.8455658
SWOD-AHGRV8,Red Rose Restaurant,6914 King George Blvd,Surrey,Restaurant,49.12821579,-122.84516907
NDAA-8ZRNLV,Pho Tau Bay Restaurant,7322 King George Blvd,Surrey,Restaurant,49.13534927,-122.84516144
HCAR-CCHRDU,Momo N Wings,7322 King George Blvd,Surrey,Restaurant,49.1353508,-122.84515818
HCAR-B9QS7W,Peaceful Restaurant,7320 King George Blvd,Surrey,Restaurant,49.13512802,-122.84513855
A017293    ,A&W #0338,7330 King George Blvd,Surrey,Restaurant,49.13603973,-122.8452301
HCAR-AW722C,Veneto's Cakes & Pastries,7380 King George Blvd,Surrey,Restaurant,49.13673782,-122.84520721
HCAR-BG4REY,Swiss Chalet Rotisserie & Grill #1257,7488 King George Blvd,Surrey,Restaurant,49.13853836,-122.84525299
HCAR-C4YTFC,Minute Bakery (King George Blvd),8056 King George Blvd,Surrey,Restaurant,49.14901036,-122.84525462
SWOD-AHGN6F,Tim Horton's #106868,9900 King George Blvd,Surrey,Restaurant,49.18235779,-122.84490967
HCAR-BANU4F,Adana Grill,13647 72 Ave,Surrey,Restaurant,49.13373566,-122.84420013
HCAR-CFFKZL,Fresh Healthy Cafe,13660 George Jct,Surrey,Restaurant,49.18142985,-122.84373471
HCAR-BWJPHA,A1 Italian Pizza,13651 100th Ave,Surrey,Restaurant,49.18443314,-122.84396342
HCAR-ASGSZD,Fraser Region Aboriginal Friendship Centre,10095 Whalley Blvd,Surrey,Restaurant,49.18594742,-122.84348297
SDFO-8MXR43,Newton Arena,7120 136B St,Surrey,Restaurant,49.13203049,-122.84320831
A019780    ,Surrey Arts Centre (Bar Concession),13750 88 Ave,Surrey,Restaurant,49.1621666,-122.84241486
JDSO-ADQPYF,Madras Club House,13737 72 Ave,Surrey,Restaurant,49.13374329,-122.84177399
PNEL-8RYR39,Kinsmen Lodge,9650 137A St,Surrey,Restaurant,49.17773056,-122.84179688
HCAR-BYCN2U,Spice 6 Pizza & Curry,10322 Whalley Blvd,Surrey,Restaurant,49.19020269,-122.84170678
GEDS-6TSPYU,Domino's Pizza #10027,10346 Whalley Blvd,Surrey,Restaurant,49.19068527,-122.84170532
GEDS-6MQ252,Shakerz Show Lounge,10458 Whalley Blvd,Surrey,Restaurant,49.19268799,-122.84191895
HCAR-C5EQNM,Domino's Pizza #10027,10768 Whalley Blvd,Surrey,Restaurant,49.19795341,-122.84208475
NDAA-A4VRMG,Bharat Parmar Sweet Shop & Restaurant,13745 72 Ave,Surrey,Restaurant,49.13376617,-122.84112549
GEDS-6U4Q7U,Pizza Hut #31123,13753 72 Ave,Surrey,Restaurant,49.13376999,-122.8405838
DMIL-9PBSFT,Garcha Bros Meat Shop,13767 72 Ave,Surrey,Restaurant,49.13376236,-122.83986664
HCAR-CF8QM6,Gateway Assisted Living - Food Service,13787 100th Ave,Surrey,Restaurant,49.18427293,-122.8401325
GEDS-6BEQ5E,Little Caesars Pizza #456-003,7135 138 St,Surrey,Restaurant,49.13246536,-122.8391571
SHEN-AZ7NZN,World Famous Chicken World (72nd Ave),13775 72 Ave,Surrey,Restaurant,49.13378906,-122.83907318
GEDS-6SYPL6,Imperial Place Residences,13853 102 Ave,Surrey,Restaurant,49.18792725,-122.8383255
NDAA-A2KMBQ,Bolivar Heights Gas Bar,13916 Grosvenor Rd,Surrey,Restaurant,49.20368576,-122.83634949
GEDS-85ZT62,Gurdwara Sahib Brookside Temple,8365 140 St,Surrey,Restaurant,49.15472794,-122.83496857
GEDS-666UND,New Frontier Club House,9803 140 St,Surrey,Restaurant,49.18060303,-122.83461761
HCAR-CCHQUX,Newton Pizza (108th Ave),13980 108th Ave,Surrey,Restaurant,49.19882327,-122.83472904
SPLH-A9TUJR,Pizza Nation,13980 108 Ave,Surrey,Restaurant,49.19866943,-122.83459473
NDAA-A4NNSC,Circle K #11109,13983 16 Ave,Surrey,Restaurant,49.03139496,-122.83462524
HCAR-BU7LYC,Nichol Place,8048 140th St,Surrey,Restaurant,49.1488929,-122.83452291
HCAR-C88RNS,Corporate Classic Caterers #61637 - Surrey School Board,14033 92nd Ave,Surrey,Restaurant,49.17012895,-122.83375284
SDFO-8L4T27,Corporate Classic Caterers,14033 92 Ave,Surrey,Restaurant,49.17026901,-122.8323822
MARO-B3TM53,Lyra Lou Cakes,14370 64 Ave,Surrey,Restaurant,49.11891556,-122.82421875
HCAR-CG2UVW,OPA! Souvlaki of Greece (64th Ave),14380 64th Ave,Surrey,Restaurant,49.11909557,-122.82391642
A014243    ,Gracepoint Community Church,3487 King George Blvd,Surrey,Restaurant,49.06520081,-122.81843567
MARO-B3LRLU,Argyll Lodge,14590 106A Ave,Surrey,Restaurant,49.19588089,-122.81782532
SWOD-AHBPCH,Dawood's Meat & Pizzaria,14620 64 Ave,Surrey,Restaurant,49.118927,-122.81710052
GEDS-6XZP8T,Song Huong Vietnamese Restaurant,14667 108 Ave,Surrey,Restaurant,49.19887924,-122.81590271
SHEN-9SZRRW,Rotary Field House,2197 148 St,Surrey,Restaurant,49.0403862,-122.81508636
HCAR-BA8QHR,Seriously Good Catering (Rotary Field House),2197 148 St,Surrey,Restaurant,49.0403862,-122.81508636
SHEN-ABMTMD,Viet City Restaurant,14779 108 Ave,Surrey,Restaurant,49.19889069,-122.81326294
GEDS-6Y2SA8,Man Seng Kitchen,14770 108A Ave,Surrey,Restaurant,49.19952774,-122.81343842
GEDS-6CFT6B,Jolly Mac's,14815 108 Ave,Surrey,Restaurant,49.199439999999996,-122.81214142
GEDS-72BNAT,Rasoi Fine Indian Cuisine,3268 King George Blvd,Surrey,Restaurant,49.06108856,-122.8120575
SWOD-A54NS4,Scott's Landing,14877 108 Ave,Surrey,Restaurant,49.19944763,-122.8092804
NDAA-8Y9UZA,Mek's Delight,14910 104 Ave,Surrey,Restaurant,49.1913414,-122.80856323
GEDS-7TBT7Q,Arirang Korean Restaurant,14916 104 Ave,Surrey,Restaurant,49.19133759,-122.80825043
ACAK-8VHRZ5,Healthy Monkey Cafe,2970 King George Blvd,Surrey,Restaurant,49.05621719,-122.80586243
ACAK-9BEUV9,Bourbon Street Grill (Guildford),10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
HCAR-AW6UF4,CoCo Fresh Tea & Juice,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
NDAA-9BNNTT,Freshii,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
SHEN-B5KUMV,Famoso Neapolitan Pizzeria,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
HCAR-BYGR7S,Kernels (Surrey),10355 152nd St,Surrey,Restaurant,49.19192586,-122.8042654
HCAR-C47UB5,Edo Japan (Surrey),10355 152nd St,Surrey,Restaurant,49.19192586,-122.8042654
HCAR-BRZLYG,Stuffies Pastry Cafe,10355 152nd St,Surrey,Restaurant,49.19192586,-122.8042654
ACAK-8XKNY2,Tawara Japanese Restaurant,15153 No 10 Hwy,Surrey,Restaurant,49.10467959,-122.80340689
HCAR-BFJL65,Sanhao BBQ Delight,15138 100 Ave,Surrey,Restaurant,49.18397903,-122.80252838
HCAR-C7DRCT,Blenz Coffee Guildford,15105 105th Ave,Surrey,Restaurant,49.19341233,-122.80253945
HCAR-B93S8S,Blenz Guildford Recreation Centre,15105 105 Ave,Surrey,Restaurant,49.19341278,-122.80253601
NDAA-ANGQWK,Wendy's #19,3077 152 St,Surrey,Restaurant,49.05767822,-122.80210876
A014724    ,Starbucks Coffee #4406,3061 152 St,Surrey,Restaurant,49.05755997,-122.80210114
GEDS-69PR95,Keg Steakhouse & Bar #131,15180 32 Ave,Surrey,Restaurant,49.06140137,-122.80214691
HCAR-BU7MFM,BBQ Chicken,15146 100th Ave,Surrey,Restaurant,49.18396932,-122.80224523
ACAK-9AJQYX,Nando's Chicken (Guildford),15190 101 Ave,Surrey,Restaurant,49.18595886,-122.80167389
HCAR-C7RN24,Sapporo Kitchen (152nd St),1625 152nd St,Surrey,Restaurant,49.0315904,-122.8012427
PNEL-8RZMFC,Blenz Coffee (152nd),1711 152 St,Surrey,Restaurant,49.03311539,-122.80166626
SHEN-B55NWZ,COBS Bread (Semiahmoo),1711 152 St,Surrey,Restaurant,49.03311539,-122.80166626
SYOG-5M562C,Tim Hortons #446,1767 152 St,Surrey,Restaurant,49.03378677,-122.80164337
HCAR-BWJNLF,Mary Brown's Chicken & Taters (152nd St),1767 152nd St,Surrey,Restaurant,49.03378679,-122.80164304
GEDS-7E5PUV,Subway #10452,1797 152 St,Surrey,Restaurant,49.03448105,-122.8014679
SWOD-A3GLTE,Taco Del Mar (Surrey),1797 152 St,Surrey,Restaurant,49.03448105,-122.8014679
ACAK-8XKTKS,IHOP #309,2429 152 St,Surrey,Restaurant,49.04616547,-122.80150604
ACAK-9CAMQN,Safeway #4920 - Starbucks Coffee,8860 152 St,Surrey,Restaurant,49.1637764,-122.80132294
HCAR-B97QHH,Soboya Sushi Japanese Restaurant,8952 152 St,Surrey,Restaurant,49.16530609,-122.80078125
A019953    ,D-Plus Pizza (152nd Ave),9547 152 St,Surrey,Restaurant,49.17590332,-122.80128479
HCAR-C5AML2,Kawawa Ramen,10355 152nd St,Surrey,Restaurant,49.19062472,-122.80092499
GEDS-6HLTS7,Tim Hortons #2816,10376 152 St,Surrey,Restaurant,49.19106674,-122.80052185
SHEN-B7BNSR,Lee Yuen Seafood Restaurant,1812 152 St,Surrey,Restaurant,49.03508377,-122.80086517
SYOG-5M5482,Royal Canadian Legion Branch #8 - Lounge,2290 152 St,Surrey,Restaurant,49.04346848,-122.8009491
NDAA-APCP2Z,Showshaa,3020 152 St,Surrey,Restaurant,49.05722046,-122.80084991
NDAA-9QXQR7,Cefa Early Learning,5446 152 St,Surrey,Restaurant,49.1013298,-122.80073547
GEDS-7VRLJL,Dairy Queen #27348,5630 152 St,Surrey,Restaurant,49.10523224,-122.80044556
SDFO-8BD247,Be'Wiched,15230 No 10 Hwy,Surrey,Restaurant,49.10418577,-122.7997067
GEDS-7NJ2JT,Original Bhaia Sweet Shop,15299 68 Ave,Surrey,Restaurant,49.12656403,-122.79923248
GEDS-7RSNY3,Garcha Bros Meat Shop (68th Ave),15299 68 Ave,Surrey,Restaurant,49.12656403,-122.79923248
HCAR-CFDQ67,Non Stop Pizza and Indian Curry,15272 Fraser Hwy,Surrey,Restaurant,49.16507512,-122.79930581
HCAR-C2SR3D,Lazeez Pizza and Kabob House,9014 152nd St,Surrey,Restaurant,49.16697429,-122.79924081
NDAA-93AV3A,Big Chicken Town,15280 101 Ave,Surrey,Restaurant,49.18597412,-122.79860687
NDAA-9E9SK8,Cefa Guildford,10172 152A St,Surrey,Restaurant,49.18732071,-122.79925537
NDAA-9A7QNA,Spice Kings,15325 56 Ave,Surrey,Restaurant,49.10524368,-122.7984314
SHEN-9ZWTDU,Pasta Vino Trattoria & Bar,15355 24 Ave,Surrey,Restaurant,49.0458374,-122.79750824
HCAR-BGCT83,Teamo,15355 24 Ave,Surrey,Restaurant,49.0458374,-122.79750824
HCAR-BH8PSG,"Pure Indian Sweets, Snacks & Catering",15336 67th Ave,Surrey,Restaurant,49.1242363,-122.79764549
A016834    ,Guildford Station Pub,10176 154 St,Surrey,Restaurant,49.18758774,-122.79506683
GEDS-65VSG5,Guildford Family Place,10310 154 St,Surrey,Restaurant,49.18936539,-122.79504395
A018381    ,Tim Hortons #1377,2360 King George Blvd,Surrey,Restaurant,49.04510117,-122.79246521
HCAR-BCSP3M,KW Gardens Chinese Restaurant,2338 King George Blvd,Surrey,Restaurant,49.04476547,-122.79212189
HCAR-BD2M2W,Ocean West Catering,2336 King George Blvd,Surrey,Restaurant,49.04468155,-122.79203033
A016854    ,Subway #11642,15551 Fraser Hwy,Surrey,Restaurant,49.16241837,-122.79125977
SODN-66TNK5,Morgan Place Food Service,3288 156A St,Surrey,Restaurant,49.06136703,-122.78994751
HCAR-C9AP9X,Pizza Pizza (104th Ave),15637 104th Ave,Surrey,Restaurant,49.19183483,-122.78875964
HCAR-CGPUSQ,Chui Hong (104th Ave),15665 104th Ave,Surrey,Restaurant,49.19161392,-122.78796853
A019324    ,Ricky's Country Restaurant,2160 King George Blvd,Surrey,Restaurant,49.04140854,-122.78780365
HCAR-CH5M7W,Willowbrae Academy Guildford - Food Service,15679 104th Ave,Surrey,Restaurant,49.19161155,-122.78760899
HCAR-CC7S9S,Shiny Tea (Morgan Crossing),15775 Croydon Dr,Surrey,Restaurant,49.04768715,-122.78492695
HCAR-BELQAW,Morgan Play Center,15850 26 Ave,Surrey,Restaurant,49.04901123,-122.78305054
GEDS-7CVR6H,CareLife Fleetwood - Food Service,8265 159 St,Surrey,Restaurant,49.15269089,-122.78202057
HCAR-AW72DJ,Fresh Street Market - Deli,15930 Fraser Hwy,Surrey,Restaurant,49.15706635,-122.78188324
SHEN-AZMPFK,Ok Hee Bae Food Co,15930 Fraser Hwy,Surrey,Restaurant,49.15706635,-122.78188324
GEDS-7HQPTW,Tim Hortons #3225,2355 160 St,Surrey,Restaurant,49.04439163,-122.78143311
SDFO-8EAUE3,Starbucks Coffee #4105,15941 Fraser Hwy,Surrey,Restaurant,49.15831757,-122.78059387
SWOD-AQHT2B,Thali Sweets and Restaurant,15932 96 Ave,Surrey,Restaurant,49.17674637,-122.78082275
GEDS-7SDLR2,Kami Japanese Restaurant,2215 160 St,Surrey,Restaurant,49.04205704,-122.7797699
HCAR-CBYR8F,Akasaka Sushi and BBQ,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.77953862
HCAR-BS6NBX,The Great Indian Cuisine,15953 Fraser Hwy,Surrey,Restaurant,49.15879416,-122.78014591
HCAR-BEFR43,Finest Cup,8645 160 St,Surrey,Restaurant,49.15956116,-122.77919006
GEDS-7E5SWY,Subway #28648,15976 108 Ave,Surrey,Restaurant,49.19859314,-122.77942657
HCAR-BGLL69,Steve's Poke Bar (Grandview Corners),2245 160 St,Surrey,Restaurant,49.04289246,-122.77955627
HCAR-ATQPHX,Sal y Limon Mexican Cuisine,2428 160 St,Surrey,Restaurant,49.0464859,-122.77880859
HCAR-B6KRT3,Pho Hung Restaurant (Surrey),16033 108 Ave,Surrey,Restaurant,49.19896698,-122.77775574
HCAR-AVPVC2,Woo Korean BBQ,16070 24 Ave,Surrey,Restaurant,49.04520035,-122.77735138
HCAR-ASJM82,Afghan Kitchen,16120 24 Ave,Surrey,Restaurant,49.04472351,-122.77613831
GEDS-7RRUYU,Starbucks Coffee #4865,2453 161A St,Surrey,Restaurant,49.04708099,-122.77611542
SHEN-9SGNQT,7-Eleven #34501,6021 168 St,Surrey,Restaurant,49.1117897,-122.7569046
NDAA-9YLSGB,Cloverdale Minor Softball Association Concession #2,6330 168 St,Surrey,Restaurant,49.11721802,-122.75643158
A019337    ,Meridian Par 3,1054 168 St,Surrey,Restaurant,49.0211792,-122.75635529
GEDS-7ELNSQ,Czorny Alzheimer Centre - Main Kitchen,16850 66 Ave,Surrey,Restaurant,49.12240982,-122.75508881
HCAR-C7RPNP,Peace Portal Golf Course - Restaurant,16900 4th Ave,Surrey,Restaurant,49.00933628,-122.75124648
SWOD-AN6QEV,Lighthouse Fresh and Tasty (Hwy 10),17433 Hwy 10,Surrey,Restaurant,49.1043698,-122.74012182
HCAR-C2WU6Y,Barcelos Flame Grilled Chicken (Brickyard),17449 56th Ave,Surrey,Restaurant,49.10436925,-122.73987659
SDFO-886NQ3,Bennett Craft & Kitchen,187 176 St,Surrey,Restaurant,49.00522995,-122.73581696
PGOO-69BTQX,Ken's Cafe,5695 176 St,Surrey,Restaurant,49.10577011,-122.7352066
HCAR-CH5LZW,Dragon Village Restaurant,5678 176th St,Surrey,Restaurant,49.10557448,-122.73492436
HCAR-BM4QZK,Ruby Siam Thai Kitchen,5723 176th St,Surrey,Restaurant,49.10638809,-122.73519135
GEDS-6UMNVV,Vault Restaurant,5764 176 St,Surrey,Restaurant,49.10710907,-122.73477936
HCAR-B6KMSN,Halifax Essentials Donair - Shannon Hall,6050A 176 St,Surrey,Restaurant,49.11225891,-122.73472595
HCAR-BD8TDN,Freshii (Cloverdale Mall Surrey),6476 176 St,Surrey,Restaurant,49.12001038,-122.73457336
NDAA-9LCTP9,Aaron's Steak & Pizza,17665 57 Ave,Surrey,Restaurant,49.1061058,-122.73323822
A016814    ,Cloverdale Bakery,5780 176A St,Surrey,Restaurant,49.10748291,-122.73348999
HCAR-B6H25D,Clover Lanes,5814 176A St,Surrey,Restaurant,49.10794067,-122.73347473
GEDS-6VZNPH,Save On Foods #2215 - Deli,17745 64 Ave,Surrey,Restaurant,49.11971664,-122.73192596
SWOD-A4ZPMN,Save On Foods #2215 - Kitchen,17745 64 Ave,Surrey,Restaurant,49.11971664,-122.73192596
GEDS-744NQ8,Dairy Queen #27268,17720 56th Ave,Surrey,Restaurant,49.10395546,-122.73182947
GEDS-6VYU4Q,Subway #33525,17755 64 Ave,Surrey,Restaurant,49.1189537,-122.73146057
SCOH-AVBP5R,Bill Reid Place,17752 Colebrook Rd,Surrey,Restaurant,49.09910202,-122.73046112
HCAR-CBGRH4,Starbucks Coffee #139,17750 56th Ave,Surrey,Restaurant,49.10414141,-122.73090054
SHEN-A2FL98,King Tut's Donair and Pizza,5691 177B St,Surrey,Restaurant,49.10579681,-122.73053741
SHEN-9PELJD,Backstretch Restaurant,17740 62 Ave,Surrey,Restaurant,49.11555099,-122.73085022
HCAR-BS6PGT,Pizza 64 #2,17767 64th Ave,Surrey,Restaurant,49.11898358,-122.7302435
ACAK-96MPWQ,Elements Casino - Poker Room,17755 60 Ave,Surrey,Restaurant,49.11171722,-122.72962952
A018613    ,A&W #0662,17830 56 Ave,Surrey,Restaurant,49.10399628,-122.72846985
A018954    ,Hazelmere Golf & Tennis Club Lounge/Kitchen,18150 8 Ave,Surrey,Restaurant,49.01621628,-122.71914673
ACAK-99FQMH,Clover Heights Retirement Home,6209 184 St,Surrey,Restaurant,49.11513901,-122.71285248
SHEN-APNR78,Pho Hillton Vietnamese Restaurant,18640 Fraser Hwy,Surrey,Restaurant,49.12546158,-122.70609283
HCAR-BCKQX9,Vera's Burger Shack (Fraser Hwy),18660 Fraser Hwy,Surrey,Restaurant,49.12517166,-122.70550537
NDAA-99YMF5,Village Sushi,18690 Fraser Hwy,Surrey,Restaurant,49.12446976,-122.70401764
GEDS-6XLQY8,Dublin Crossing Irish Pub,18789 Fraser Hwy,Surrey,Restaurant,49.12428665,-122.70225525
SPLH-AS8TP6,Nielsen's Your Independent Grocer - Deli,18765 Fraser Hwy,Surrey,Restaurant,49.12528992,-122.70236206
SHEN-AP5QBH,Denji Japanese Restaurant,6820 188 St,Surrey,Restaurant,49.12660599,-122.70143127
HCAR-CBGUVC,Pizza Avenue (188th St),7170 188th St,Surrey,Restaurant,49.13301933,-122.70163665
HCAR-CBMMKZ,The Biryani Chef,2711 192nd St,Surrey,Restaurant,49.05142208,-122.69149472
SHEN-9SZQZX,A&W Restaurant (Campbell Heights),2725 192 St,Surrey,Restaurant,49.05220032,-122.69181824
HCAR-BJKMZZ,Sugar Free IQ,9613 192 St,Surrey,Restaurant,49.17736053,-122.6907196
SPLH-ARZV5U,Black Tiger Coffee Co,19255 Fraser Hwy,Surrey,Restaurant,49.11894608,-122.68943024
LCAL-6WFPPZ,Ritz Catering & Coffee House,19289 Langley Bypass,Surrey,Restaurant,49.10551525,-122.68848724
SHEN-AP5QTE,Galini Greek Kouzina & Grill,19475 Fraser Hwy,Surrey,Restaurant,49.11542511,-122.6827774
HCAR-C8ZRFM,Sushi Topia,6350 120th St,Surrey,Restaurant,49.11815677,-122.89006339
DMIL-96GQWF,Spice Meats,7028 120 St,Surrey,Restaurant,49.13087082,-122.89004517
SHEN-A7GVK6,Curry & Kabab Indian Cuisine,7500 120 St,Surrey,Restaurant,49.13913727,-122.89006805
A013656    ,Church's Chicken #3630,8434 120 St,Surrey,Restaurant,49.15658951,-122.89008331
SDFO-8MMLPS,Select Pizza,8434 120 St,Surrey,Restaurant,49.15658951,-122.89008331
KSMH-ATMS8A,Rana Catering,8910 120 St,Surrey,Restaurant,49.1651535,-122.89006805
HCAR-C5XN28,Zoe's Kitchen,9336 120th St,Surrey,Restaurant,49.1727131,-122.89017797
HCAR-BQAVFJ,Kathmandu Bar & Grill,9340 120th St,Surrey,Restaurant,49.17277344,-122.89017708
SHEN-ABMQFG,Scott Hill Pizza,9380 120 St,Surrey,Restaurant,49.17352676,-122.8899231
NDAA-9NVPPU,Super Pho VN Cuisine,9544 120 St,Surrey,Restaurant,49.17643738,-122.88986206
PNEL-8QX26S,Quiznos Sub #7277,10355 120 St,Surrey,Restaurant,49.19095612,-122.8907547
NDAA-93RQHM,Subway #55832,9538 120 St,Surrey,Restaurant,49.17636108,-122.88985443
SHEN-9SSP8G,Donair Affair,12080 Nordel Way,Surrey,Restaurant,49.16109848,-122.88860321
GEDS-7N929H,Nordel Sushi,12080 Nordel Way,Surrey,Restaurant,49.16109848,-122.88860321
SHEN-9PATK5,Golden Samosa Bakery,12025 Nordel Way,Surrey,Restaurant,49.16237259,-122.88889313
GEDS-7W7V3T,Starbucks Coffee #4976,12025 Nordel Way,Surrey,Restaurant,49.16237259,-122.88889313
SODN-65HTBW,Tim Hortons #2656,12110 Nordel Way,Surrey,Restaurant,49.16168976,-122.88694
JRON-67B26M,Save On Foods #939 - Seafood Section,12130 Nordel Way,Surrey,Restaurant,49.16125107,-122.8860321
GEDS-7E5PJ5,Fish Net #1,12211 Beecher St,Surrey,Restaurant,49.05259323,-122.88368225
SPLH-A9UTKA,Crescent Harbour House Restaurant,12233 Beecher St,Surrey,Restaurant,49.05270004,-122.88304901
HCAR-C7TMVU,Kwantlen Pizza & Curry House,12414 82nd Ave,Surrey,Restaurant,49.15200341,-122.8785953
GEDS-66RRQQ,Dad's Bistro,12411 King George Blvd,Surrey,Restaurant,49.20660019,-122.87798309
HCAR-CGXRF6,Osmow's,12477 88th Ave,Surrey,Restaurant,49.1631156,-122.8769047
SPLH-AUXP4D,Cheema Bros Meat Shop,12477 88 Ave,Surrey,Restaurant,49.16395187,-122.87705231
A017154    ,Tamanawis Secondary School Cafeteria,12600 66 Ave,Surrey,Restaurant,49.122715,-122.87242889
MARO-B3GPES,Ekam's Sundae Delight,7750 128 St,Surrey,Restaurant,49.14358139,-122.86765289
SHEN-AP5SUE,Vegetarian Delite Bakery (Surrey),8078 128 St,Surrey,Restaurant,49.1493454,-122.86766052
HCAR-CAKR4F,Basant Sweets,8148 128th St,Surrey,Restaurant,49.15093157,-122.86794091
