TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
GEDS-6KSUZ7,Surrey Catering,10528 City Pky,Surrey,Restaurant,49.19396973,-122.84793854
SWOD-A3NPVR,Alebi African Cuisine,10694 135A St,Surrey,Restaurant,49.19704056,-122.84670258
GEDS-6BENH6,Surrey House of Grace,13557 King George Blvd,Surrey,Restaurant,49.19992447,-122.84647369
GEDS-7V3QGQ,Price Pro - Snack Bar,6899 King George Blvd,Surrey,Restaurant,49.1280365,-122.84596252
GEDS-6A5QDU,Tim Hortons #2530,7195 King George Blvd,Surrey,Restaurant,49.13306427,-122.84596252
HPAR-AE2S2K,7-Eleven #37876H,7195 King George Blvd,Surrey,Restaurant,49.13306427,-122.84596252
ACAK-8T9NSX,KFC #1820/Taco Bell,13577 73rd Ave,Surrey,Restaurant,49.13524246,-122.84601593
NDAA-9GYQWB,Training Day Cafe,8077 King George Blvd,Surrey,Restaurant,49.14945984,-122.84601593
HCAR-BKDPLR,Pizza Hub,9436 King George Blvd,Surrey,Restaurant,49.17441177,-122.84552765
A019021    ,China Village Wonton House,9644 King George Blvd,Surrey,Restaurant,49.17776108,-122.84529877
HCAR-BEFQ6Q,QianDao,10153 King George Blvd,Surrey,Restaurant,49.18592072,-122.84584808
SDFO-8GGQ3X,Thai Express (Central City),10153 King George Blvd,Surrey,Restaurant,49.18592072,-122.84584808
NDAA-9B2SJL,Cultures,10153 King George Blvd,Surrey,Restaurant,49.18592072,-122.84584808
MARO-B3LPN4,Grandt Kitchen,10257 King George Blvd,Surrey,Restaurant,49.1892395,-122.84575653
HCAR-AWER52,Golden Chongqing House,10537 King George Blvd,Surrey,Restaurant,49.19396591,-122.84560394
HCAR-BXURDA,Taqueria Jalisco Restaurant,10675 King George Blvd,Surrey,Restaurant,49.19673312,-122.84561282
SDFO-8MXQXX,Di Reggae Cafe,13593 King George Blvd,Surrey,Restaurant,49.19931412,-122.8455658
A020459    ,Wings Tap And Grill,7124 King George Blvd,Surrey,Restaurant,49.13216782,-122.84503937
HCAR-CFDU5E,Freshslice Pizza (King George Blvd),7218 King George Blvd,Surrey,Restaurant,49.1343323,-122.84521322
HCAR-CARPDK,Freshslice Pizza (Park Place),9908 King George Blvd,Surrey,Restaurant,49.18334718,-122.84499471
JDSO-AC4M2W,McDonald's Restaurant of Canada # 1196,10240 King George Blvd,Surrey,Restaurant,49.18861771,-122.84507751
HCAR-CGAMRT,Diya Restaurant and Sweets,13655 72nd Ave,Surrey,Restaurant,49.13357581,-122.84391997
HCAR-CG2RYQ,Starbucks Coffee #65304,13660 George Jct,Surrey,Restaurant,49.18142985,-122.84373471
HCAR-BLAMY6,Guacamole Mexican Grill,13646 Grosvenor Rd,Surrey,Restaurant,49.19962692,-122.84402466
NDAA-9NYPNB,New Express Pizza,13654 Grosvenor Rd,Surrey,Restaurant,49.19969177,-122.84375763
GEDS-7UWVFC,Suncreek Village,13687 62 Ave,Surrey,Restaurant,49.11563873,-122.84282684
HCAR-BTHQWE,Tomato's The Indian Flavor,7238 137th St,Surrey,Restaurant,49.1345334,-122.84261524
SWOD-AKEM7K,BBQ Nation,7238 137 St,Surrey,Restaurant,49.13453293,-122.84261322
SHEN-BDJU3G,Freshii CC2,9639 137A St,Surrey,Restaurant,49.17801666,-122.84231567
SWOD-AFPRZP,Subway #7752,13745 72 Ave,Surrey,Restaurant,49.13376617,-122.84112549
HCAR-CGFMVZ,Bear Creek Train & Mini Golf,13750 88th Ave,Surrey,Restaurant,49.16272395,-122.8410183
GEDS-7X2MK9,Pacific Billiards and Snookers,13774 104 Ave,Surrey,Restaurant,49.19141006,-122.84064484
SDFO-8LHV7L,Timbergrove Kitchen,13922 101 Ave,Surrey,Restaurant,49.18577957,-122.83625793
A017226    ,Aling Mary's Filipino Restaurant,13979 104 Ave,Surrey,Restaurant,49.19166183,-122.83464813
HCAR-BGUV5C,Blenz Coffee Kiosk (140th St),9750 140 St,Surrey,Restaurant,49.17972565,-122.83382416
SHEN-ACXME6,Junior Scholars Educational Childcare,5728 142 St,Surrey,Restaurant,49.10693741,-122.8285675
A016986    ,Surrey Pretrial Centre #60614,14323 57 Ave,Surrey,Restaurant,49.10680771,-122.82605743
NDAA-9MCRET,Subway #55162,14313 Crescent Rd,Surrey,Restaurant,49.06762695,-122.82500458
A013790    ,Enver Creek Secondary School Cafeteria,14505 84 Ave,Surrey,Restaurant,49.15582657,-122.82025146
A019207    ,Real Canadian Superstore #1556 - Deli,14650 104 Ave,Surrey,Restaurant,49.19123459,-122.81602478
GEDS-7AGRER,Polonia Bakery & Deli (Surrey),14641 108 Ave,Surrey,Restaurant,49.19890594,-122.81658173
HCAR-BXXNPA,Huong Viet Vietnamese Restaurant,14667 108th Ave,Surrey,Restaurant,49.19877286,-122.81574059
HCAR-CGFREV,Shahrayar Grill House,14752 108A Ave,Surrey,Restaurant,49.19953305,-122.8137167
SHEN-AZ7P7E,Gateway Pizza & Curry House,9183 148 St,Surrey,Restaurant,49.16994095,-122.8125
HCAR-B7MP49,Freshlo Pizza,3268 King George Blvd,Surrey,Restaurant,49.06108856,-122.8120575
HCAR-CB7N5A,Rasoi Restaurant,3268 King George Blvd,Surrey,Restaurant,49.06108806,-122.81205645
NDAA-93ES27,Townhall Public House South Surrey,3140 King George Blvd,Surrey,Restaurant,49.05918503,-122.80989838
