TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
HCAR-BA6LWN,Dragon Wok,Surrey,8140 128 St,-122.86732483,49.15063477,509674.89735633926,5444209.826553067
NDAA-A9KPFF,Punjab Banquet Hall,Surrey,8166 128 St,-122.86739349,49.15130615,509669.7598881921,5444284.453847362
GEDS-6HKMMM,Subway #10105,Surrey,12842 96 Ave,-122.86654663,49.17696381,509726.487014679,5447136.883017215
HCAR-BXDMYN,Shalimar Convenience Store & Paan Centre,Surrey,8128 128th St,-122.86643058,49.14985463,509740.2604934237,5444123.214464055
SWOD-9X7QKV,Camy's Pizza,Surrey,12849 96 Ave,-122.86594391,49.17731476,509770.345990371,5447175.975252992
SHEN-AZ7U52,COBS Bread (16th Ave),Surrey,12857 16 Ave,-122.86585236,49.03150558,509805.7056595925,5430966.784056595
MARO-B3ER9D,L'Aromas Coffee / Malone's,Surrey,12901 16 Ave,-122.86510468,49.03150177,509860.3590931847,5430966.457402508
HCAR-BFVTU5,Tiny Wings Children's Centre - Food Service,Surrey,13047 24 Ave,-122.8605957,49.04592896,510187.00235743227,5432570.865510051
HCAR-BPZUA5,White Hart Public House,Surrey,8593 132nd St,-122.85743747,49.15844548,510394.2657631549,5445079.439073048
HCAR-BTGREF,Growing Together Daycare - Food Service,Surrey,9444 134th St,-122.8511851,49.174349,510846.65296460903,5446848.285205064
JDSO-AC4SZY,Freshslice Pizza,Surrey,10777 University Dr,-122.85109711,49.19836044,510847.8159514368,5449517.620963026
HCAR-CAFR3Z,Sushi Plus,Surrey,10777 University Dr,-122.85109663,49.19836169,510847.8506468252,5449517.759993116
SWOD-APUNLH,Big Star Sandwich Co (Surrey),Surrey,13402 104 Ave,-122.85085297,49.19147491,510867.11019013595,5448752.198684022
HCAR-B7YVJY,Cafe Nelly,Surrey,13401 108 Ave,-122.85025787,49.19909286,510908.79483681865,5449599.164013465
SDFO-8LBUNQ,Gateway Java,Surrey,13401 108 Ave,-122.85025787,49.19909286,510908.79483681865,5449599.164013465
HCAR-CLESKQ,Macao Imperial Tea Surrey,Surrey,13444 72nd Ave,-122.84963979,49.13355449,510968.2886974981,5442313.456301815
JDSO-ACMLL6,Corporate Classic Caterers (Nav Canada),Surrey,7421 135 St,-122.84864807,49.13725662,511039.8092445803,5442725.158068099
GEDS-6E8STL,TREES,Surrey,13479 76 Ave,-122.84900665,49.1410141,511012.8214125117,5443142.817011018
HCAR-C8FQLT,Steve's Poke Bar (Central City),Surrey,10153 King George Blvd,-122.84740187,49.18559446,511119.88098037505,5448098.977005881
A019922    ,New Town Bakery & Restaurant,Surrey,10302 City Pky,-122.84738922,49.18995667,511119.82517871744,5448583.9206554545
HCAR-BLYR5W,Bubba Tea Famous Tea & Waffles,Surrey,10305 City Pky,-122.84786987,49.19051361,511084.6787031785,5448645.764558204
GEDS-6KSUZ7,Surrey Catering,Surrey,10528 City Pky,-122.84793854,49.19396973,511078.9033802973,5449029.967629202
SWOD-A3NPVR,Alebi African Cuisine,Surrey,10694 135A St,-122.84670258,49.19704056,511168.26162130106,5449371.530304347
GEDS-6BENH6,Surrey House of Grace,Surrey,13557 King George Blvd,-122.84647369,49.19992447,511184.28677092487,5449692.165604005
GEDS-7V3QGQ,Price Pro - Snack Bar,Surrey,6899 King George Blvd,-122.84596252,49.1280365,511237.780611323,5441700.572747387
